Id,Label,unnamed: 0,user_id,user_language,user_country,verified,followers_count,profile_image,splitter_z_value,stat_inf_class,modularity_class,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,Clustering Coefficient,pageranks,clustering,eigencentrality,KatzCentrality
44,staryeyedcowboy,44,1002371271433129985,English,Undefined_(English),False,26,1002371271433129985.png,0,311,24,0,0,0,0,0,1,1,0,1,1,0,0,9,0.188157,0.193377,0,0,153,0,0,0.000271,0,0.000018,0,0,0
45,xiuweetflavor,45,1002393911845847040,Portuguese,Undefined_(Portuguese),False,423,1002393911845847040.png,0,182,491,0,0,0,0,0,1,1,0,1,1,0,0,7,0.271044,0.2822,0,0,697,0,0,0.000813,0,0.000018,0,0,0
46,Suspended_User,46,100252669,Portuguese,Undefined_(Portuguese),Suspended_User,Suspended_User,default_profile_bigger.png,0,841,543,0,0,0,0,0,1,1,0,1,1,0,0,7,0.263646,0.275764,0,0,203,0,0,0.000313,0,0.000018,0,0,0
47,gabpereiraaaa,47,1002538509809475585,Portuguese,Undefined_(Portuguese),False,235,1002538509809475585.png,0,285,34,0,0,0,0,0,1,1,0,2,2,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
48,Emeulibre,48,1002590838889861121,Portuguese,Undefined_(Portuguese),False,158,1002590838889861121.png,0,175,523,0,0,0,0,0,6,6,0,6,6,0,0,6,0.359375,0.390959,0,0,5.78953,0,0,0.016804,0.6,0.000018,0.433333,0,0
49,MoonKase,49,1002736099054243843,Unavailable_Lang_(Restricted),Unavailable_Country_(Restricted),False,204793,1002736099054243843.png,0,58,34,1,0.000074,0.000074,0.000074,1,0,1,2,0,2,3948,0.000154,0,0,0,0,0,9,0,0.000005,0,0,0.000019,0,0.000224,0
50,BertConterLean,50,1002742053908951040,Portuguese,Undefined_(Portuguese),False,49,1002742053908951040.png,0,110,34,0,0,0,0,0,4,4,0,4,4,0,0,7,0.271806,0.284891,0,0,7.37551,0,0,0.003703,0.166667,0.000018,0.083333,0,0
51,Suspended_User,51,1002820962193231873,Portuguese,Undefined_(Portuguese),Suspended_User,Suspended_User,default_profile_bigger.png,0,189,523,0,0,0,0,0,6,6,0,6,6,0,0,7,0.301875,0.321544,0,0,3.734669,0,0,0.004077,0.533333,0.000018,0.333333,0,0
52,OldCreature_,52,1002906206644723713,English,Brazil,False,51,1002906206644723713.png,0,2,0,0,0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.000018,0,0.000224,0
53,Dona_Salsa_,53,1002985799439323137,Portuguese,Undefined_(Portuguese),False,1061,1002985799439323137.png,0,285,23,0,0,0,0,0,2,2,0,2,2,0,0,8,0.226761,0.23577,0,0,5.47458,0,0,0.002961,0,0.000018,0,0,0
54,deceseze,54,1003352284342910976,English,Brazil,False,70,1003352284342910976.png,0,172,23,0,0,0,0,0,1,1,0,1,1,0,0,7,0.327347,0.352773,0,0,417,0,0,0.000713,0,0.000018,0,0,0
55,somehooliganhi,55,1003379563861303297,Portuguese,Brazil,False,510,1003379563861303297.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
56,FGillgrass,56,1003673538388267009,English,United Kingdom,False,51,1003673538388267009.png,0,408,24,0,0,0,0,0,3,3,0,3,3,0,0,7,0.276158,0.290999,0,0,13.622531,0,0,0.001673,0.333333,0.000018,0.333333,0,0
57,CONSULLlGHTWOOD,57,1003791741101670400,Portuguese,Undefined_(Portuguese),False,634,1003791741101670400.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
58,Nitrogl41152579,58,1003801362826776576,Portuguese,Undefined_(Portuguese),False,272,1003801362826776576.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
59,Cursives_pouch,59,1003852034544549889,English,Undefined_(English),False,111,1003852034544549889.png,0,101,24,0,0,0,0,0,1,1,0,1,1,0,0,8,0.218948,0.225808,0,0,117,0,0,0.000344,0,0.000018,0,0,0
60,paleotaissa,60,10039432,Portuguese,Brazil,False,6972,10039432.png,0,203,23,22,0.001632,0.836697,0.261972,23,16,39,28,21,49,149836,0.005844,6,0.372299,0.403903,15118.174734,0.000083,0.006048,0.000001,0.008637,0.018762,0.194958,0.000715,0.149206,0.037095,0
61,viviamly,61,1004033971376844800,English,Undefined_(English),False,1546,1004033971376844800.png,0,253,24,0,0,0,0,0,4,4,0,4,4,0,0,6,0.358309,0.388889,0,0,6.062523,0,0,0.015159,0.666667,0.000018,0.333333,0,0
62,matheusriv,62,1004068272319365121,Portuguese,Brazil,False,114,1004068272319365121.png,0,285,491,0,0,0,0,0,2,2,0,2,2,0,0,7,0.271501,0.283494,0,0,269.274788,0,0,0.003769,0,0.000018,0,0,0
63,CisnerosRes,63,1004126125558304768,English,Undefined_(English),False,3940,1004126125558304768.png,0,267,28,0,0,0,0,0,1,1,0,1,1,0,0,7,0.264513,0.276799,0,0,116,0,0,0.000276,0,0.000018,0,0,0
64,SSantilim,64,1004170678575255552,Portuguese,Undefined_(Portuguese),False,512,1004170678575255552.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
65,TyrannoDinoHiro,65,1004259822844301312,English,Undefined_(English),False,550,1004259822844301312.png,0,195,28,0,0,0,0,0,1,1,0,1,1,0,0,8,0.231156,0.239455,0,0,112,0,0,0.00035,0,0.000018,0,0,0
66,gallonofreeds,66,1004393932153815041,English,Undefined_(English),False,44,1004393932153815041.png,0,21,24,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,488,0,0,0.000454,0,0.000018,0,0,0
67,thaisacts2,67,1004890064499900416,Portuguese,Brazil,False,320,1004890064499900416.png,0,250,34,0,0,0,0,0,3,3,0,3,3,0,0,6,0.359241,0.389579,0,0,54.935896,0,0,0.017849,0.333333,0.000018,0.166667,0,0
68,rick04br,68,1004893462725087232,Portuguese,Undefined_(Portuguese),False,501,1004893462725087232.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
69,KidulWarlock,69,1004942073731022848,English,Indonesia,False,395,1004942073731022848.png,0,175,523,0,0,0,0,0,6,6,0,6,6,0,0,7,0.301498,0.321458,0,0,4.62613,0,0,0.003818,0.466667,0.000018,0.4,0,0
70,AnotherBunch,70,1005020704629317632,Portuguese,Undefined_(Portuguese),False,98,1005020704629317632.png,0,173,469,0,0,0,0,0,6,6,0,12,12,0,0,6,0.371396,0.399862,0,0,3.937029,0,0,0.017875,0.466667,0.000018,0.4,0,0
71,yagyvis,71,1005173248097742848,Portuguese,Undefined_(Portuguese),False,305,1005173248097742848.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
72,skelefart,72,1005205982971092993,English,Undefined_(English),False,61,1005205982971092993.png,0,21,24,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,488,0,0,0.000454,0,0.000018,0,0,0
73,pedroreisrl,73,1005272471686311936,Portuguese,Undefined_(Portuguese),False,19,1005272471686311936.png,0,8,34,0,0,0,0,0,1,1,0,1,1,0,0,9,0.187101,0.192093,0,0,143,0,0,0.000333,0,0.000018,0,0,0
74,snakewaterjim,74,1005303669024280576,English,United States,False,44,1005303669024280576.png,0,97,523,0,0,0,0,0,1,1,0,1,1,0,0,7,0.270512,0.281613,0,0,108,0,0,0.000258,0,0.000018,0,0,0
75,__no_me__,75,1005455320645292032,Portuguese,Undefined_(Portuguese),False,310,1005455320645292032.png,0,30,469,0,0,0,0,0,2,2,0,2,2,0,0,6,0.359509,0.389665,0,0,116.584448,0,0,0.015078,1,0.000018,1,0,0
76,garbreh_,76,1005473963487711232,Portuguese,Undefined_(Portuguese),False,139,1005473963487711232.png,0,462,34,0,0,0,0,0,3,3,0,3,3,0,0,7,0.299257,0.316282,0,0,12.370922,0,0,0.001181,0.333333,0.000018,0.333333,0,0
77,loverkore,77,1005510804861571072,Portuguese,Undefined_(Portuguese),False,161,1005510804861571072.png,0,30,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.357778,0.387164,0,0,4164,0,0,0.014377,0,0.000018,0,0,0
78,wtf_monkeys,78,100554982,Portuguese,Undefined_(Portuguese),False,548,100554982.png,0,257,23,0,0,0,0,0,1,1,0,1,1,0,0,7,0.270361,0.281837,0,0,173,0,0,0.000679,0,0.000018,0,0,0
79,Asu95cb,79,1005995651308630016,English,Brazil,False,261,1005995651308630016.png,0,43,491,0,0,0,0,0,2,2,0,2,2,0,0,7,0.272727,0.285253,0,0,15.399194,0,0,0.000429,0,0.000018,0,0,0
80,hungry_hobbits,80,1006169505742163973,English,Undefined_(English),False,296,1006169505742163973.png,0,21,24,0,0,0,0,0,2,2,0,2,2,0,0,9,0.188304,0.194205,0,0,58.24025,0,0,0.000724,0,0.000018,0,0,0
81,giuia_nah,81,1006171217966006272,Portuguese,Undefined_(Portuguese),False,442,1006171217966006272.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
82,AnneliseRichter,82,1006328085556363265,Portuguese,Brazil,False,135,1006328085556363265.png,0,48,469,0,0,0,0,0,4,4,0,4,4,0,0,6,0.358176,0.388716,0,0,7.905901,0,0,0.016038,0.833333,0.000018,0.666667,0,0
83,Bastion141,83,1006378362129002496,English,United States,False,1126,1006378362129002496.png,0,169,24,0,0,0,0,0,2,2,0,2,2,0,0,9,0.187258,0.192929,0,0,0.484848,0,0,0.000099,0,0.000018,0,0,0
84,qinfernoo,84,1006527703728689153,Portuguese,Undefined_(Portuguese),False,79,1006527703728689153.png,0,304,60,0,0,0,0,0,1,1,0,1,1,0,0,7,0.280081,0.293414,0,0,341,0,0,0.000899,0,0.000018,0,0,0
85,glavenych,85,1006615887493980162,English,Jersey,False,1054,1006615887493980162.png,0,355,24,0,0,0,0,0,1,1,0,1,1,0,0,7,0.278146,0.290792,0,0,142,0,0,0.000279,0,0.000018,0,0,0
86,Cl1ffDynos,86,1006781555497414656,English,United States,False,310,1006781555497414656.png,0,236,523,0,0,0,0,0,5,5,0,7,7,0,0,7,0.300373,0.318991,0,0,6.079473,0,0,0.004318,0.5,0.000018,0.35,0,0
